,address,price,url,lat,lng,beds
94,2558 Boulder Rd SE,"199,900",30316,33.71359,-84.312836,3
95, Orkney 23 24 25 #25,"199,990",30331,33.7103,-84.5341,0
96,215 Piedmont Ave NE #1006,"193,900",30308,33.760246,-84.381905,2
97,6700 Roswell Rd #1D,"190,000",30328,33.93951,-84.37703,3
98,6150 Mallory Rd,"199,000",30349,33.588245,-84.52466,3
99,3940 Flagstone Ct SW,"199,900",30331,33.745655,-84.516785,4
100,3125 Granada Pl,"194,900",30344,33.67067,-84.47966,4
101,10 Perimeter Summit Blvd NE #4337,"199,900",30319,33.914104,-84.34094,2
102,1976 Baker Rd NW,"195,000",30318,33.770016,-84.45165,3
103,3777 Peachtree Rd NE #1503,"194,000",30319,33.856564,-84.34866,1
104,1452 Hardee St NE,"190,000",30307,33.755573,-84.34004,2
105,32 Peachtree St NW #906,"194,000",30303,33.754726,-84.38987,2
106,2788 Gresham Rd SE,"193,900",30316,33.706303,-84.308,3
107,1075 Peachtree Walk NE #A106,"199,900",30309,33.783962,-84.38611,1
108,1848 Bayberry Dr SW,"199,900",30311,33.71562,-84.448296,3
109,147 Chappell Rd NW,"199,900",30314,33.75871,-84.43328,4
110,1440 Westmont Rd SW,"190,000",30311,33.715965,-84.437355,3
111,1280 W Peachtree St NW #1712,"196,000",30309,33.789707,-84.388115,1
112,1883 Bonniview St SW,"199,900",30310,33.703426,-84.41626,3
113,416 E Side Ave SE,"195,000",30316,33.74187,-84.33974,0
114,4960 Campbellton Rd SW #6,"199,900",30331,33.703793,-84.550896,0
115,2558 Boulder Rd SE,"199,900",30316,33.71359,-84.312836,3
116,1409 Winburn Dr,"194,900",30344,33.684315,-84.43507,0
117, Campbellton Rd SW,"199,900",30310,33.7283,-84.4234,0
118,2336 Ripplewater Dr SE,"199,000",30316,33.721672,-84.345726,3
119,4960 Campbellton Rd SW,"199,900",30331,33.703793,-84.550896,2
120,2538 Garrett Cir,"197,900",30360,33.914074,-84.28365,3
121,2539 Garrett Cir,"194,900",30360,33.91353,-84.28398,3
122,2590 Barrylynn Dr,"197,500",30360,33.91641,-84.281586,2
0,1428 Westchester Rdg NE #1428,"205,000",30329,33.83424,-84.32516,1
1,3354 N Whitney Ave,"205,000",30354,33.662567,-84.41079,3
2,44 Finch Trl NE,"205,000",30308,33.769295,-84.37846,1
3,3354 N Whitney Ave #NA,"205,000",30354,33.662567,-84.41079,3
4,400 17th St NW #2303,"200,000",30363,33.789234,-84.402084,1
5,2888 Fairburn Rd SW,"205,000",30331,33.676327,-84.51612,2
6,3410 Hamlin Sq SW,"206,227",30331,33.661232,-84.555115,5
7,32 8th St NE #20,"200,000",30309,33.779675,-84.38516,1
8,3141 Gold Dr SW,"205,000",30311,33.713497,-84.49561,3
